Date/Time,Electricity:Facility [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  00:10:00,0.0,0.0,,,,,,0.0,585155.8421196423,0.0 
 01/01  00:20:00,0.0,0.0,,,,,,0.0,578217.2424193096,0.0 
 01/01  00:30:00,0.0,0.0,,,,,,0.0,571214.6749587334,0.0 
 01/01  00:40:00,0.0,0.0,,,,,,0.0,564032.3738623401,0.0 
 01/01  00:50:00,0.0,0.0,,,,,,0.0,556722.0839723342,0.0 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,3404577.2589155475,0.0,0.0,549235.0415831878,0.0 
 01/01  01:10:00,0.0,0.0,,,,,,0.0,551883.5285659868,0.0 
 01/01  01:20:00,0.0,0.0,,,,,,0.0,554353.4777829719,0.0 
 01/01  01:30:00,0.0,0.0,,,,,,0.0,556676.5121386101,0.0 
 01/01  01:40:00,0.0,0.0,,,,,,0.0,558890.6009098382,0.0 
 01/01  01:50:00,0.0,0.0,,,,,,0.0,561042.3040622104,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,3346001.9095398585,0.0,0.0,563155.4860802406,0.0 
 01/01  02:10:00,0.0,0.0,,,,,,0.0,561801.1174929901,0.0 
 01/01  02:20:00,0.0,0.0,,,,,,0.0,560443.94406944,0.0 
 01/01  02:30:00,0.0,0.0,,,,,,0.0,559155.799543049,0.0 
 01/01  02:40:00,0.0,0.0,,,,,,0.0,557741.6863699441,0.0 
 01/01  02:50:00,0.0,0.0,,,,,,0.0,556392.5977252806,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,3350584.0719270885,0.0,0.0,555048.9267263843,0.0 
 01/01  03:10:00,0.0,0.0,,,,,,0.0,555476.5869904349,0.0 
 01/01  03:20:00,0.0,0.0,,,,,,0.0,555907.6349979673,0.0 
 01/01  03:30:00,0.0,0.0,,,,,,0.0,556414.6416064367,0.0 
 01/01  03:40:00,0.0,0.0,,,,,,0.0,556776.2417899878,0.0 
 01/01  03:50:00,0.0,0.0,,,,,,0.0,557217.8124230348,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,3339459.6312663399,0.0,0.0,557666.7134584787,0.0 
 01/01  04:10:00,0.0,0.0,,,,,,0.0,559895.3094401722,0.0 
 01/01  04:20:00,0.0,0.0,,,,,,0.0,562133.583013365,0.0 
 01/01  04:30:00,0.0,0.0,,,,,,0.0,564459.0060914195,0.0 
 01/01  04:40:00,0.0,0.0,,,,,,0.0,566652.8669675371,0.0 
 01/01  04:50:00,0.0,0.0,,,,,,0.0,568941.224231084,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,3393332.0316569625,0.0,0.0,571250.0419133847,0.0 
 01/01  05:10:00,0.0,0.0,,,,,,0.0,571783.0491370747,0.0 
 01/01  05:20:00,0.0,0.0,,,,,,0.0,572333.7226340307,0.0 
 01/01  05:30:00,0.0,0.0,,,,,,0.0,572898.5968954468,0.0 
 01/01  05:40:00,0.0,0.0,,,,,,0.0,573473.8973662994,0.0 
 01/01  05:50:00,0.0,0.0,,,,,,0.0,574053.1968644669,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,3439176.6503996246,0.0,0.0,574634.1875023062,0.0 
 01/01  06:10:00,12090.749999999998,12090.749999999998,,,,,,0.0,644128.3838517252,0.0 
 01/01  06:20:00,12090.749999999998,12090.749999999998,,,,,,0.0,642960.9526892667,0.0 
 01/01  06:30:00,12090.749999999998,12090.749999999998,,,,,,0.0,641774.8622305124,0.0 
 01/01  06:40:00,12090.749999999998,12090.749999999998,,,,,,0.0,640562.2860935689,0.0 
 01/01  06:50:00,12090.749999999998,12090.749999999998,,,,,,0.0,639319.2906341283,0.0 
 01/01  07:00:00,12090.749999999998,12090.749999999998,72544.49999999999,72544.49999999999,0.0,3846793.007463161,0.0,0.0,638047.2319639595,0.0 
 01/01  07:10:00,119751.15,119751.15,,,,,,0.0,777211.918415355,0.0 
 01/01  07:20:00,119751.15,119751.15,,,,,,0.0,777079.873839529,0.0 
 01/01  07:30:00,119751.15,119751.15,,,,,,0.0,777666.4769783263,0.0 
 01/01  07:40:00,119751.15,119751.15,,,,,,0.0,778447.5085084995,0.0 
 01/01  07:50:00,85272.22582274172,85272.22582274172,,,,,,0.0,786521.1198008502,0.0 
 01/01  08:00:00,72356.58406379044,72356.58406379044,636633.4098865321,636633.4098865321,0.0,4688356.431077542,0.0,0.0,791429.5335349814,0.0 
 01/01  08:10:00,66493.31872411375,66493.31872411375,,,,,,0.0,780608.0141168918,0.0 
 01/01  08:20:00,60902.35843911713,60902.35843911713,,,,,,0.0,775444.9620584369,0.0 
 01/01  08:30:00,54259.9291395827,54259.9291395827,,,,,,0.0,770766.6343023393,0.0 
 01/01  08:40:00,47444.69140990952,47444.69140990952,,,,,,0.0,765974.0758841897,0.0 
 01/01  08:50:00,39372.77949745353,39372.77949745353,,,,,,0.0,761367.2012741922,0.0 
 01/01  09:00:00,29940.431335962443,29940.431335962443,298413.50854613908,298413.50854613908,0.0,4611208.9465211569,0.0,0.0,757048.058885107,0.0 
 01/01  09:10:00,22856.79,22856.79,,,,,,0.0,535746.1559967895,0.0 
 01/01  09:20:00,22856.79,22856.79,,,,,,0.0,528830.2608492202,0.0 
 01/01  09:30:00,22856.79,22856.79,,,,,,0.0,521589.0842272062,0.0 
 01/01  09:40:00,22856.79,22856.79,,,,,,0.0,513972.1216015343,0.0 
 01/01  09:50:00,22856.79,22856.79,,,,,,0.0,506141.5981319578,0.0 
 01/01  10:00:00,22856.79,22856.79,137140.74000000003,137140.74000000003,0.0,3104442.7494375098,0.0,0.0,498163.5286308015,0.0 
 01/01  10:10:00,0.0,0.0,,,,,,0.0,441637.1421268597,0.0 
 01/01  10:20:00,0.0,0.0,,,,,,0.0,433790.714300067,0.0 
 01/01  10:30:00,0.0,0.0,,,,,,0.0,425748.9773592091,0.0 
 01/01  10:40:00,0.0,0.0,,,,,,0.0,417596.1588287862,0.0 
 01/01  10:50:00,0.0,0.0,,,,,,0.0,409411.6904371561,0.0 
 01/01  11:00:00,0.0,0.0,0.0,0.0,0.0,2529306.475418231,0.0,0.0,401121.79236615265,0.0 
 01/01  11:10:00,0.0,0.0,,,,,,0.0,392843.5929075226,0.0 
 01/01  11:20:00,0.0,0.0,,,,,,0.0,384488.239687687,0.0 
 01/01  11:30:00,0.0,0.0,,,,,,0.0,376119.001470448,0.0 
 01/01  11:40:00,0.0,0.0,,,,,,0.0,368117.6313365224,0.0 
 01/01  11:50:00,0.0,0.0,,,,,,0.0,360250.9135651892,0.0 
 01/01  12:00:00,0.0,0.0,0.0,0.0,0.0,2234376.820140881,0.0,0.0,352557.44117351216,0.0 
 01/01  12:10:00,0.0,0.0,,,,,,0.0,345161.6683325203,0.0 
 01/01  12:20:00,0.0,0.0,,,,,,0.0,338096.21698321177,0.0 
 01/01  12:30:00,0.0,0.0,,,,,,0.0,331737.3806221494,0.0 
 01/01  12:40:00,0.0,0.0,,,,,,0.0,324895.5484017561,0.0 
 01/01  12:50:00,0.0,0.0,,,,,,0.0,318247.64905505409,0.0 
 01/01  13:00:00,0.0,0.0,0.0,0.0,0.0,1969820.2994483077,0.0,0.0,311681.836053616,0.0 
 01/01  13:10:00,0.0,0.0,,,,,,0.0,310335.6291085474,0.0 
 01/01  13:20:00,0.0,0.0,,,,,,0.0,309187.7031746033,0.0 
 01/01  13:30:00,0.0,0.0,,,,,,0.0,308180.2074662959,0.0 
 01/01  13:40:00,0.0,0.0,,,,,,0.0,308854.18596394199,0.0 
 01/01  13:50:00,0.0,0.0,,,,,,0.0,309850.1009458781,0.0 
 01/01  14:00:00,0.0,0.0,0.0,0.0,0.0,1857558.812937723,0.0,0.0,311150.9862784565,0.0 
 01/01  14:10:00,0.0,0.0,,,,,,0.0,309513.54340618537,0.0 
 01/01  14:20:00,0.0,0.0,,,,,,0.0,308215.6690832862,0.0 
 01/01  14:30:00,0.0,0.0,,,,,,0.0,307502.8915512222,0.0 
 01/01  14:40:00,0.0,0.0,,,,,,0.0,306715.4559103666,0.0 
 01/01  14:50:00,0.0,0.0,,,,,,0.0,306285.32296179668,0.0 
 01/01  15:00:00,0.0,0.0,0.0,0.0,0.0,1844269.0230423145,0.0,0.0,306036.14012945748,0.0 
 01/01  15:10:00,0.0,0.0,,,,,,0.0,308475.1549589477,0.0 
 01/01  15:20:00,0.0,0.0,,,,,,0.0,311428.58599753878,0.0 
 01/01  15:30:00,0.0,0.0,,,,,,0.0,314752.21942994967,0.0 
 01/01  15:40:00,0.0,0.0,,,,,,0.0,317246.89365364357,0.0 
 01/01  15:50:00,0.0,0.0,,,,,,0.0,319771.6322175914,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0,0.0,1893904.3821435369,0.0,0.0,322229.89588586569,0.0 
 01/01  16:10:00,0.0,0.0,,,,,,0.0,326944.2423168763,0.0 
 01/01  16:20:00,0.0,0.0,,,,,,0.0,332016.83451419536,0.0 
 01/01  16:30:00,0.0,0.0,,,,,,0.0,337202.26956972017,0.0 
