time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150101:0009,0.0,0.0,0.0,0.0,4.76,13.16,0.0
20150101:0109,0.0,0.0,0.0,0.0,4.73,12.71,0.0
20150101:0209,0.0,0.0,0.0,0.0,4.71,12.26,0.0
20150101:0309,0.0,0.0,0.0,0.0,4.69,11.81,0.0
20150101:0409,0.0,0.0,0.0,0.0,4.33,11.43,0.0
20150101:0509,0.0,0.0,0.0,0.0,3.97,11.05,0.0
20150101:0609,0.0,25.0,0.0,4.07,3.61,10.68,0.0
20150101:0709,11.0,96.0,0.0,13.3,4.05,9.88,0.0
20150101:0809,29.0,166.0,0.0,20.93,4.5,9.09,0.0
20150101:0909,30.0,210.0,0.0,26.33,4.94,8.3,0.0
20150101:1009,0.0,98.0,0.0,28.9,4.99,8.35,0.0
20150101:1109,0.0,119.0,0.0,28.27,5.04,8.4,0.0
20150101:1209,1.0,135.0,0.0,24.55,5.09,8.44,0.0
20150101:1309,18.0,137.0,0.0,18.21,4.86,8.42,0.0
20150101:1409,0.0,40.0,0.0,9.9,4.64,8.4,0.0
20150101:1509,0.0,0.0,0.0,0.19,4.41,8.39,1.0
20150101:1609,0.0,0.0,0.0,0.0,4.03,8.18,0.0
20150101:1709,0.0,0.0,0.0,0.0,3.65,7.98,0.0
20150101:1809,0.0,0.0,0.0,0.0,3.27,7.78,0.0
20150101:1909,0.0,0.0,0.0,0.0,3.12,7.51,0.0
20150101:2009,0.0,0.0,0.0,0.0,2.97,7.25,0.0
20150101:2109,0.0,0.0,0.0,0.0,2.82,6.98,0.0
20150101:2209,0.0,0.0,0.0,0.0,2.86,6.96,0.0
20150101:2309,0.0,0.0,0.0,0.0,2.9,6.93,0.0
20150102:0009,0.0,0.0,0.0,0.0,2.94,6.91,0.0
20150102:0109,0.0,0.0,0.0,0.0,2.96,6.82,0.0
20150102:0209,0.0,0.0,0.0,0.0,2.98,6.74,0.0
20150102:0309,0.0,0.0,0.0,0.0,3.0,6.65,0.0
20150102:0409,0.0,0.0,0.0,0.0,2.7,6.17,0.0
20150102:0509,0.0,0.0,0.0,0.0,2.41,5.69,0.0
20150102:0609,0.0,25.0,0.0,4.06,2.12,5.21,0.0
20150102:0709,31.0,103.0,0.0,13.31,3.51,5.35,0.0
20150102:0809,26.0,165.0,0.0,20.95,4.91,5.49,0.0
20150102:0909,333.01,103.0,0.0,26.38,6.3,5.63,0.0
20150102:1009,373.01,110.0,0.0,28.98,6.63,5.68,0.0
20150102:1109,344.01,120.0,0.0,28.37,6.97,5.74,0.0
20150102:1209,252.01,130.0,0.0,24.67,7.3,5.79,0.0
20150102:1309,180.01,96.0,0.0,18.34,6.92,5.09,0.0
20150102:1409,70.0,59.0,0.0,10.03,6.53,4.39,0.0
20150102:1509,0.0,0.0,0.0,0.32,6.15,3.68,1.0
20150102:1609,0.0,0.0,0.0,0.0,5.48,3.69,0.0
20150102:1709,0.0,0.0,0.0,0.0,4.81,3.7,0.0
20150102:1809,0.0,0.0,0.0,0.0,4.15,3.71,0.0
20150102:1909,0.0,0.0,0.0,0.0,3.57,3.44,0.0
20150102:2009,0.0,0.0,0.0,0.0,3.0,3.18,0.0
20150102:2109,0.0,0.0,0.0,0.0,2.42,2.91,0.0
20150102:2209,0.0,0.0,0.0,0.0,2.63,2.96,0.0
20150102:2309,0.0,0.0,0.0,0.0,2.84,3.01,0.0
20150103:0009,0.0,0.0,0.0,0.0,3.05,3.06,0.0
20150103:0109,0.0,0.0,0.0,0.0,2.95,2.67,0.0
20150103:0209,0.0,0.0,0.0,0.0,2.85,2.27,0.0
20150103:0309,0.0,0.0,0.0,0.0,2.75,1.88,0.0
20150103:0409,0.0,0.0,0.0,0.0,2.92,1.68,0.0
20150103:0509,0.0,0.0,0.0,0.0,3.09,1.49,0.0
20150103:0609,0.0,22.0,0.0,4.05,3.26,1.3,0.0
20150103:0709,137.01,63.0,0.0,13.32,5.05,1.3,0.0
20150103:0809,205.01,115.0,0.0,20.98,6.85,1.3,0.0
20150103:0909,322.01,111.0,0.0,26.44,8.64,1.3,0.0
20150103:1009,189.01,211.0,0.0,29.06,9.5,1.38,0.0
20150103:1109,129.0,226.0,0.0,28.48,10.35,1.47,0.0
20150103:1209,162.01,177.0,0.0,24.79,11.21,1.56,0.0
20150103:1309,140.01,119.0,0.0,18.47,10.78,1.66,0.0
20150103:1409,77.0,57.0,0.0,10.17,10.36,1.76,0.0
20150103:1509,0.0,0.0,0.0,0.46,9.93,1.86,1.0
20150103:1609,0.0,0.0,0.0,0.0,9.73,1.65,0.0
20150103:1709,0.0,0.0,0.0,0.0,9.53,1.44,0.0
20150103:1809,0.0,0.0,0.0,0.0,9.34,1.23,0.0
20150103:1909,0.0,0.0,0.0,0.0,8.88,1.37,0.0
20150103:2009,0.0,0.0,0.0,0.0,8.42,1.5,0.0
20150103:2109,0.0,0.0,0.0,0.0,7.96,1.64,0.0
20150103:2209,0.0,0.0,0.0,0.0,7.65,1.82,0.0
20150103:2309,0.0,0.0,0.0,0.0,7.34,2.0,0.0
20150104:0009,0.0,0.0,0.0,0.0,7.03,2.18,0.0
20150104:0109,0.0,0.0,0.0,0.0,6.73,2.5,0.0
20150104:0209,0.0,0.0,0.0,0.0,6.43,2.82,0.0
20150104:0309,0.0,0.0,0.0,0.0,6.14,3.14,0.0
20150104:0409,0.0,0.0,0.0,0.0,6.36,2.92,0.0
20150104:0509,0.0,0.0,0.0,0.0,6.58,2.69,0.0
20150104:0609,0.0,8.0,0.0,4.05,6.81,2.47,0.0
20150104:0709,6.0,89.0,0.0,13.33,8.16,2.62,0.0
20150104:0809,0.0,90.0,0.0,21.02,9.52,2.77,0.0
20150104:0909,7.0,182.0,0.0,26.5,10.87,2.92,0.0
20150104:1009,1.0,161.0,0.0,29.15,11.39,3.15,0.0
20150104:1109,394.01,91.0,0.0,28.6,11.91,3.38,0.0
20150104:1209,0.0,133.0,0.0,24.92,12.43,3.61,0.0
20150104:1309,258.01,52.0,0.0,18.61,12.46,3.0,0.0
20150104:1409,71.0,62.0,0.0,10.31,12.49,2.39,0.0
20150104:1509,0.0,0.0,0.0,0.6,12.52,1.78,1.0
20150104:1609,0.0,0.0,0.0,0.0,11.7,2.24,0.0
20150104:1709,0.0,0.0,0.0,0.0,10.88,2.7,0.0
20150104:1809,0.0,0.0,0.0,0.0,10.07,3.16,0.0
20150104:1909,0.0,0.0,0.0,0.0,9.81,3.86,0.0
20150104:2009,0.0,0.0,0.0,0.0,9.56,4.57,0.0
20150104:2109,0.0,0.0,0.0,0.0,9.31,5.27,0.0
20150104:2209,0.0,0.0,0.0,0.0,8.99,5.91,0.0
20150104:2309,0.0,0.0,0.0,0.0,8.67,6.56,0.0
20150105:0009,0.0,0.0,0.0,0.0,8.35,7.2,0.0
20150105:0109,0.0,0.0,0.0,0.0,8.18,7.11,0.0
20150105:0209,0.0,0.0,0.0,0.0,8.01,7.03,0.0
20150105:0309,0.0,0.0,0.0,0.0,7.84,6.94,0.0
20150105:0409,0.0,0.0,0.0,0.0,7.47,6.51,0.0
20150105:0509,0.0,0.0,0.0,0.0,7.1,6.09,0.0
20150105:0609,0.0,6.0,0.0,4.05,6.74,5.67,0.0
20150105:0709,0.0,21.0,0.0,13.36,7.01,5.27,0.0
20150105:0809,0.0,62.0,0.0,21.07,7.28,4.87,0.0
20150105:0909,0.0,70.0,0.0,26.58,7.55,4.47,0.0
20150105:1009,0.0,71.0,0.0,29.25,7.43,4.79,0.0
20150105:1109,0.0,95.0,0.0,28.72,7.31,5.1,0.0
20150105:1209,0.0,130.0,0.0,25.06,7.19,5.42,0.0
20150105:1309,11.0,135.0,0.0,18.76,6.53,5.52,0.0
20150105:1409,14.0,75.0,0.0,10.46,5.87,5.61,0.0
20150105:1509,0.0,0.0,0.0,0.75,5.21,5.71,1.0
20150105:1609,0.0,0.0,0.0,0.0,4.9,5.57,0.0
20150105:1709,0.0,0.0,0.0,0.0,4.59,5.43,0.0
20150105:1809,0.0,0.0,0.0,0.0,4.28,5.28,0.0
