time,G(i),H_sun,T2m,WS10m,Int
20160101:0009,0.0,0.0,1.82,9.6,0.0
20160101:0109,0.0,0.0,1.57,9.35,0.0
20160101:0209,0.0,0.0,1.32,9.09,0.0
20160101:0309,0.0,0.0,1.08,8.84,0.0
20160101:0409,0.0,0.0,1.05,8.44,0.0
20160101:0509,0.0,0.0,1.02,8.04,0.0
20160101:0609,11.0,4.07,0.99,7.64,1.0
20160101:0709,136.0,13.3,2.16,7.06,1.0
20160101:0809,266.01,20.93,3.34,6.47,1.0
20160101:0909,364.01,26.33,4.51,5.89,1.0
20160101:1009,462.01,28.9,5.1,5.52,1.0
20160101:1109,504.01,28.27,5.68,5.14,1.0
20160101:1209,448.01,24.55,6.27,4.77,1.0
20160101:1309,382.01,18.21,6.25,4.32,1.0
20160101:1409,138.01,9.9,6.24,3.86,1.0
20160101:1509,0.0,0.0,6.22,3.41,0.0
20160101:1609,0.0,0.0,6.0,2.68,0.0
20160101:1709,0.0,0.0,5.78,1.95,0.0
20160101:1809,0.0,0.0,5.56,1.23,0.0
20160101:1909,0.0,0.0,5.38,1.05,0.0
20160101:2009,0.0,0.0,5.2,0.88,0.0
20160101:2109,0.0,0.0,5.02,0.7,0.0
20160101:2209,0.0,0.0,5.22,1.14,0.0
20160101:2309,0.0,0.0,5.42,1.59,0.0
20160102:0009,0.0,0.0,5.62,2.03,0.0
20160102:0109,0.0,0.0,5.62,2.22,0.0
20160102:0209,0.0,0.0,5.62,2.41,0.0
20160102:0309,0.0,0.0,5.62,2.61,0.0
20160102:0409,0.0,0.0,5.71,2.5,0.0
20160102:0509,0.0,0.0,5.8,2.4,0.0
20160102:0609,6.0,4.06,5.9,2.29,1.0
20160102:0709,127.2,13.31,6.82,2.03,1.0
20160102:0809,432.01,20.95,7.73,1.77,1.0
20160102:0909,283.91,26.38,8.65,1.5,1.0
20160102:1009,696.02,28.98,9.06,1.73,1.0
20160102:1109,694.02,28.37,9.47,1.95,1.0
20160102:1209,572.01,24.67,9.88,2.18,1.0
20160102:1309,362.01,18.34,9.85,1.81,1.0
20160102:1409,162.01,10.03,9.81,1.44,1.0
20160102:1509,0.0,0.0,9.78,1.08,0.0
20160102:1609,0.0,0.0,9.45,0.88,0.0
20160102:1709,0.0,0.0,9.13,0.68,0.0
20160102:1809,0.0,0.0,8.81,0.48,0.0
20160102:1909,0.0,0.0,8.64,0.82,0.0
20160102:2009,0.0,0.0,8.48,1.16,0.0
20160102:2109,0.0,0.0,8.32,1.5,0.0
20160102:2209,0.0,0.0,8.41,2.04,0.0
20160102:2309,0.0,0.0,8.49,2.57,0.0
20160103:0009,0.0,0.0,8.58,3.1,0.0
20160103:0109,0.0,0.0,8.47,3.64,0.0
20160103:0209,0.0,0.0,8.37,4.17,0.0
20160103:0309,0.0,0.0,8.27,4.7,0.0
20160103:0409,0.0,0.0,8.24,5.09,0.0
20160103:0509,0.0,0.0,8.21,5.47,0.0
20160103:0609,0.0,0.0,8.19,5.85,0.0
20160103:0709,4.0,13.32,9.2,6.39,1.0
20160103:0809,0.0,0.0,10.22,6.92,0.0
20160103:0909,0.0,0.0,11.23,7.46,0.0
20160103:1009,4.0,29.06,11.52,8.28,1.0
20160103:1109,0.0,0.0,11.81,9.09,0.0
20160103:1209,0.0,0.0,12.1,9.9,0.0
20160103:1309,8.0,18.47,12.39,10.61,1.0
20160103:1409,2.0,10.17,12.67,11.31,1.0
20160103:1509,0.0,0.0,12.96,12.01,0.0
20160103:1609,0.0,0.0,12.76,11.85,0.0
20160103:1709,0.0,0.0,12.57,11.69,0.0
20160103:1809,0.0,0.0,12.38,11.53,0.0
20160103:1909,0.0,0.0,12.1,10.82,0.0
20160103:2009,0.0,0.0,11.83,10.11,0.0
20160103:2109,0.0,0.0,11.56,9.39,0.0
20160103:2209,0.0,0.0,11.61,9.16,0.0
20160103:2309,0.0,0.0,11.66,8.93,0.0
20160104:0009,0.0,0.0,11.71,8.7,0.0
20160104:0109,0.0,0.0,10.88,7.24,0.0
20160104:0209,0.0,0.0,10.06,5.78,0.0
20160104:0309,0.0,0.0,9.24,4.32,0.0
20160104:0409,0.0,0.0,8.98,3.65,0.0
20160104:0509,0.0,0.0,8.72,2.97,0.0
20160104:0609,11.0,4.05,8.47,2.3,1.0
20160104:0709,240.01,13.33,9.9,1.74,1.0
20160104:0809,394.01,21.02,11.33,1.17,1.0
20160104:0909,214.0,26.5,12.76,0.61,1.0
20160104:1009,466.01,29.15,13.26,1.06,1.0
20160104:1109,86.0,28.6,13.77,1.52,1.0
20160104:1209,100.0,24.92,14.27,1.97,1.0
20160104:1309,0.0,0.0,13.89,2.44,0.0
20160104:1409,0.0,0.0,13.52,2.9,0.0
20160104:1509,0.0,0.0,13.14,3.37,0.0
20160104:1609,0.0,0.0,12.58,4.29,0.0
20160104:1709,0.0,0.0,12.02,5.22,0.0
20160104:1809,0.0,0.0,11.46,6.15,0.0
20160104:1909,0.0,0.0,11.59,7.23,0.0
20160104:2009,0.0,0.0,11.73,8.3,0.0
20160104:2109,0.0,0.0,11.86,9.38,0.0
20160104:2209,0.0,0.0,12.41,9.12,0.0
20160104:2309,0.0,0.0,12.96,8.86,0.0
20160105:0009,0.0,0.0,13.52,8.61,0.0
20160105:0109,0.0,0.0,13.59,8.4,0.0
20160105:0209,0.0,0.0,13.67,8.18,0.0
20160105:0309,0.0,0.0,13.75,7.97,0.0
20160105:0409,0.0,0.0,13.94,7.44,0.0
20160105:0509,0.0,0.0,14.14,6.91,0.0
20160105:0609,7.0,4.05,14.34,6.39,1.0
20160105:0709,50.0,13.36,15.18,6.23,1.0
20160105:0809,26.0,21.07,16.01,6.06,1.0
20160105:0909,22.0,26.58,16.85,5.9,1.0
20160105:1009,0.0,0.0,17.03,6.01,0.0
20160105:1109,48.0,28.72,17.22,6.11,1.0
20160105:1209,12.0,25.06,17.4,6.22,1.0
20160105:1309,4.0,18.76,16.9,6.06,1.0
20160105:1409,36.0,10.46,16.41,5.91,1.0
20160105:1509,0.0,0.0,15.91,5.75,0.0
20160105:1609,0.0,0.0,15.35,5.74,0.0
20160105:1709,0.0,0.0,14.8,5.73,0.0
20160105:1809,0.0,0.0,14.25,5.72,0.0
20160105:1909,0.0,0.0,13.91,5.77,0.0
20160105:2009,0.0,0.0,13.57,5.81,0.0
20160105:2109,0.0,0.0,13.23,5.85,0.0
20160105:2209,0.0,0.0,13.23,5.94,0.0
20160105:2309,0.0,0.0,13.23,6.02,0.0
20160106:0009,0.0,0.0,13.23,6.11,0.0
20160106:0109,0.0,0.0,13.04,6.63,0.0
20160106:0209,0.0,0.0,12.85,7.14,0.0
20160106:0309,0.0,0.0,12.67,7.66,0.0
20160106:0409,0.0,0.0,12.67,7.7,0.0
20160106:0509,0.0,0.0,12.67,7.75,0.0
20160106:0609,4.0,4.06,12.67,7.79,1.0
20160106:0709,58.0,13.39,13.86,7.77,1.0
20160106:0809,282.01,21.12,15.06,7.75,1.0
20160106:0909,202.0,26.66,16.25,7.72,1.0
20160106:1009,392.01,29.36,16.8,7.81,1.0
20160106:1109,404.01,28.85,17.36,7.89,1.0
20160106:1209,202.0,25.2,17.91,7.97,1.0
20160106:1309,150.0,18.91,17.51,8.28,1.0
20160106:1409,48.0,10.61,17.11,8.6,1.0
20160106:1509,0.0,0.0,16.71,8.91,0.0
20160106:1609,0.0,0.0,16.09,9.45,0.0
20160106:1709,0.0,0.0,15.47,10.0,0.0
20160106:1809,0.0,0.0,14.85,10.54,0.0
20160106:1909,0.0,0.0,14.69,10.53,0.0
20160106:2009,0.0,0.0,14.54,10.53,0.0
20160106:2109,0.0,0.0,14.39,10.52,0.0
20160106:2209,0.0,0.0,14.42,10.84,0.0
20160106:2309,0.0,0.0,14.45,11.15,0.0
20160107:0009,0.0,0.0,14.48,11.46,0.0
20160107:0109,0.0,0.0,14.19,11.37,0.0
20160107:0209,0.0,0.0,13.91,11.27,0.0
20160107:0309,0.0,0.0,13.63,11.17,0.0
20160107:0409,0.0,0.0,12.8,10.66,0.0
20160107:0509,0.0,0.0,11.97,10.14,0.0
20160107:0609,0.0,0.0,11.14,9.63,0.0
20160107:0709,0.0,0.0,11.95,9.87,0.0
20160107:0809,26.0,21.18,12.76,10.11,1.0
20160107:0909,768.02,26.75,13.57,10.36,1.0
20160107:1009,766.02,29.48,13.94,10.37,1.0
20160107:1109,784.02,28.99,14.31,10.39,1.0
20160107:1209,614.02,25.35,14.68,10.4,1.0
20160107:1309,454.01,19.06,14.03,10.16,1.0
20160107:1409,202.01,10.77,13.37,9.91,1.0
20160107:1509,0.0,0.0,12.72,9.67,0.0
20160107:1609,0.0,0.0,12.23,9.64,0.0
20160107:1709,0.0,0.0,11.74,9.6,0.0
20160107:1809,0.0,0.0,11.26,9.57,0.0
20160107:1909,0.0,0.0,11.06,9.69,0.0
20160107:2009,0.0,0.0,10.87,9.8,0.0
20160107:2109,0.0,0.0,10.67,9.92,0.0
20160107:2209,0.0,0.0,10.69,9.65,0.0
20160107:2309,0.0,0.0,10.71,9.38,0.0
20160108:0009,0.0,0.0,10.74,9.12,0.0
20160108:0109,0.0,0.0,10.54,8.6,0.0
20160108:0209,0.0,0.0,10.34,8.09,0.0
20160108:0309,0.0,0.0,10.15,7.57,0.0
20160108:0409,0.0,0.0,9.99,7.16,0.0
20160108:0509,0.0,0.0,9.83,6.74,0.0
20160108:0609,15.0,4.1,9.67,6.33,1.0
20160108:0709,256.01,13.47,11.09,5.98,1.0
20160108:0809,512.01,21.25,12.5,5.63,1.0
20160108:0909,664.02,26.84,13.92,5.28,1.0
20160108:1009,816.02,29.6,14.62,4.95,1.0
20160108:1109,774.02,29.13,15.33,4.61,1.0
20160108:1209,656.02,25.51,16.03,4.28,1.0
20160108:1309,452.01,19.23,15.67,4.06,1.0
20160108:1409,172.01,10.93,15.32,3.84,1.0
20160108:1509,0.0,0.0,14.96,3.63,0.0
